prefix,paramfile,duplication rate,loss rate,p,qratio,r,outgroup,q1,q2,q3,sco,lsd,lsdonly,replicate
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0.5, 0.25, 0.25,False, False, False, 179
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 180
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 181
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, False, False, 182
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 183
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 184
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 185
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 186
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, True, False, 187
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 188
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 189
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 190
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 191
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, True, False, 192
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, False, True, 193
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 194
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 195
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 196
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 197
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 198
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, False, True, 199
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 200
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 201
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, False, True, 202
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, True, True, 203
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 204
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,1, 0, 0,False, False, True, 205
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 206
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 207
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 208
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, False, True, 209
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,False, False, True, 210
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 211
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 212
figure1, config_files/config_figure1.txt, 5e-07, 0.0,250000.0, 50.0, 100000.0, None,0, 0, 1,True, False, True, 213
