prefix,paramfile,duplication rate,loss rate,p,qratio,r,outgroup,q1,sco,lsd,lsdonly,replicate, lsdtrue, lsdonlytrue, max age, min age
fixqr_lsdage_mp,config_files/config_fixqr_lsdage_mp.txt,1.00E-06,0,250000,20,750000,None,1,FALSE,TRUE,FALSE,58,TRUE, False,0.46330887,0.46330887
fixqr_lsdage_mp,config_files/config_fixqr_lsdage_mp.txt,1.00E-06,0,250000,20,750000,None,1,FALSE,TRUE,FALSE,59,FALSE, False, NA, NA
fixqr_lsdage_mp,config_files/config_fixqr_lsdage_mp.txt,1.00E-06,0,250000,20,750000,None,1,FALSE,TRUE,FALSE,60,TRUE, False,0.18311103,0.18311103
fixqr_lsdage_mp,config_files/config_fixqr_lsdage_mp.txt,1.00E-06,0,250000,20,750000,None,0,FALSE,TRUE,TRUE,61,TRUE, True,0.18000938,0.08194317
fixqr_lsdage_mp,config_files/config_fixqr_lsdage_mp.txt,1.00E-06,0,250000,20,750000,None,1,FALSE,TRUE,TRUE,62,FALSE, False, NA, NA
fixqr_lsdage_mp,config_files/config_fixqr_lsdage_mp.txt,1.00E-06,0,250000,20,750000,None,0,TRUE,FALSE,TRUE,63,FALSE, True, NA, NA
fixqr_lsdage_mp,config_files/config_fixqr_lsdage_mp.txt,1.00E-06,0,250000,20,750000,None,1,FALSE,TRUE,TRUE,64,TRUE, True,0.39796223,0.39796223
fixqr_lsdage_mp,config_files/config_fixqr_lsdage_mp.txt,1.00E-06,0,250000,20,750000,None,1,FALSE,TRUE,FALSE,65,TRUE, False,0.46912677,0.46912677
fixqr_lsdage_mp,config_files/config_fixqr_lsdage_mp.txt,1.00E-06,0,250000,20,750000,None,0.333333,FALSE,TRUE,FALSE,66,TRUE, False,0.41467816,0.41467816
fixqr_lsdage_mp,config_files/config_fixqr_lsdage_mp.txt,1.00E-06,0,250000,20,750000,None,0.75,FALSE,TRUE,FALSE,67,TRUE, False,0.39681459,0.39681459
fixqr_lsdage_mp,config_files/config_fixqr_lsdage_mp.txt,1.00E-06,0,250000,20,750000,None,0,TRUE,FALSE,TRUE,68,FALSE, True, NA, NA
fixqr_lsdage_mp,config_files/config_fixqr_lsdage_mp.txt,1.00E-06,0,250000,20,750000,None,1,FALSE,TRUE,TRUE,69,TRUE, True,0.26643286,0.26643286
fixqr_lsdage_mp,config_files/config_fixqr_lsdage_mp.txt,1.00E-06,0,250000,20,750000,None,0.8,FALSE,TRUE,FALSE,70,TRUE, False,0.28068553,0.10865967
fixqr_lsdage_mp,config_files/config_fixqr_lsdage_mp.txt,1.00E-06,0,250000,20,750000,None,0.5,FALSE,TRUE,FALSE,71,TRUE, False,0.44306299,0.44306299
fixqr_lsdage_mp,config_files/config_fixqr_lsdage_mp.txt,1.00E-06,0,250000,20,750000,None,1,TRUE,FALSE,TRUE,72,FALSE, True, NA, NA
fixqr_lsdage_mp,config_files/config_fixqr_lsdage_mp.txt,1.00E-06,0,250000,20,750000,None,0.5,FALSE,TRUE,FALSE,73,TRUE, False,0.39682323,0.10801852
fixqr_lsdage_mp,config_files/config_fixqr_lsdage_mp.txt,1.00E-06,0,250000,20,750000,None,0.666667,FALSE,TRUE,FALSE,74,FALSE, False, NA, NA
fixqr_lsdage_mp,config_files/config_fixqr_lsdage_mp.txt,1.00E-06,0,250000,20,750000,None,1,TRUE,FALSE,TRUE,75,FALSE, True, NA, NA
fixqr_lsdage_mp,config_files/config_fixqr_lsdage_mp.txt,1.00E-06,0,250000,20,750000,None,0.166667,FALSE,TRUE,FALSE,76,TRUE, False,0.42599522,0.42599522
fixqr_lsdage_mp,config_files/config_fixqr_lsdage_mp.txt,1.00E-06,0,250000,20,750000,None,1,FALSE,TRUE,FALSE,77,FALSE, False, NA, NA
fixqr_lsdage_mp,config_files/config_fixqr_lsdage_mp.txt,1.00E-06,0,250000,20,750000,None,0.666667,FALSE,TRUE,FALSE,78,FALSE, False, NA, NA
fixqr_lsdage_mp,config_files/config_fixqr_lsdage_mp.txt,1.00E-06,0,250000,20,750000,None,0.8,FALSE,TRUE,FALSE,79,TRUE, False,0.06774632,0.06774632
fixqr_lsdage_mp,config_files/config_fixqr_lsdage_mp.txt,1.00E-06,0,250000,20,750000,None,0,FALSE,TRUE,FALSE,80,TRUE, False,0.50018309,0.50018309
fixqr_lsdage_mp,config_files/config_fixqr_lsdage_mp.txt,1.00E-06,0,250000,20,750000,None,0,FALSE,FALSE,TRUE,81,FALSE, True, NA, NA
fixqr_lsdage_mp,config_files/config_fixqr_lsdage_mp.txt,1.00E-06,0,250000,20,750000,None,1,FALSE,TRUE,FALSE,82,FALSE, False, NA, NA
